ProblemType:	SP-CARP
NumberNodes:	191
NumberEdges:	267
DepotNodeNumber:	95
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	7	2.3	3.5	7	14	21	28	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3	Demand_4	Bins_4	Demand_5	Bins_5	Demand_6	Bins_6
START
0	5	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6	1	2	97	0	0	3869	28	0	0	0	0	0	0	0	0	0	0
2	7	3	4	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	11	5	6	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	12	7	8	204	0	0	0	0	1020	2	0	0	0	0	2040	5	0	0
5	13	7	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	14	9	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	18	6	7	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	25	10	11	55	0	0	4235	20	0	0	0	0	0	0	4590	10	0	0
9	26	12	10	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	28	13	14	99	4148	15	3693	9	0	0	680	2	0	0	0	0	0	0
11	29	14	15	35	510	1	0	0	0	0	0	0	1870	1	0	0	0	0
12	33	4	16	39	0	0	1020	2	3822	27	0	0	0	0	0	0	0	0
13	36	16	9	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	49	17	18	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	50	18	19	17	0	0	2550	5	0	0	0	0	0	0	0	0	0	0
16	94	20	21	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	132	22	23	182	0	0	0	0	1955	13	0	0	0	0	3910	17	832	7
18	133	22	24	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	134	25	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	135	27	28	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	136	29	25	97	0	0	0	0	816	4	0	0	0	0	612	3	760	5
22	137	26	27	102	0	0	0	0	663	4	0	0	0	0	816	4	556	4
23	203	30	31	84	0	0	3470	18	0	0	0	0	0	0	2550	5	0	0
24	204	32	33	96	0	0	0	0	1020	6	0	0	0	0	1224	6	1596	12
25	205	34	35	76	0	0	4095	10	0	0	0	0	0	0	1360	3	0	0
26	206	33	34	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	209	36	37	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	211	38	39	56	0	0	3895	16	0	0	0	0	0	0	2040	4	0	0
29	212	40	38	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	213	39	41	48	0	0	0	0	0	0	0	0	0	0	1530	3	0	0
31	215	42	43	188	0	0	0	0	2686	17	0	0	0	0	3468	17	1184	10
32	216	44	43	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	217	45	46	112	0	0	0	0	1020	6	0	0	0	0	1836	9	1068	9
34	218	47	48	207	0	0	3882	24	0	0	1870	1	1700	1	2550	5	0	0
35	219	48	49	98	0	0	3060	6	0	0	0	0	0	0	1700	4	0	0
36	220	47	50	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	221	51	52	76	0	0	3060	6	0	0	0	0	0	0	2040	5	0	0
38	222	53	54	238	0	0	4080	8	3978	15	1870	1	0	0	4148	16	1388	11
39	223	55	56	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	224	57	58	133	4247	21	0	0	510	1	680	2	0	0	4760	11	0	0
41	225	59	17	356	0	0	3060	6	4751	44	0	0	0	0	5398	45	4008	33
42	226	60	61	22	0	0	0	0	510	1	0	0	0	0	0	0	0	0
43	227	61	62	162	1530	3	0	0	680	2	0	0	2805	1	1936	6	0	0
44	230	63	64	180	0	0	0	0	0	0	2040	4	0	0	4420	6	0	0
45	231	65	66	23	0	0	0	0	153	1	0	0	0	0	204	1	232	2
46	232	67	65	105	0	0	0	0	867	5	0	0	0	0	1020	5	1120	8
47	233	68	69	213	0	0	1734	14	4828	26	510	1	0	0	5540	28	3292	27
48	234	70	71	79	0	0	0	0	1734	11	0	0	0	0	2244	11	1272	10
49	235	72	73	46	0	0	0	0	969	6	0	0	0	0	1224	6	472	4
50	239	74	75	86	0	0	2040	4	0	0	510	1	0	0	1360	3	0	0
51	240	76	74	66	0	0	4022	10	0	0	0	0	0	0	850	2	0	0
52	313	77	78	120	0	0	0	0	3991	20	0	0	0	0	3060	8	0	0
53	397	79	37	29	3740	8	0	0	0	0	0	0	0	0	0	0	0	0
54	398	80	36	30	0	0	0	0	0	0	0	0	0	0	850	2	0	0
55	399	81	80	34	0	0	1224	8	0	0	0	0	0	0	0	0	0	0
56	400	80	79	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	401	82	79	35	0	0	1530	10	0	0	0	0	0	0	850	2	0	0
58	402	83	68	46	510	1	0	0	204	1	0	0	0	0	204	1	116	1
59	403	84	82	85	3803	9	2703	13	0	0	0	0	0	0	5440	12	0	0
60	404	81	85	152	3404	11	1989	13	1020	2	0	0	0	0	4250	10	0	0
61	405	68	76	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	406	82	50	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	407	50	81	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	408	86	87	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	411	88	89	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	412	88	76	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	413	90	83	120	0	0	714	2	510	1	0	0	0	0	1852	5	0	0
68	414	91	92	77	0	0	3777	11	0	0	0	0	0	0	1530	3	0	0
69	415	91	86	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	416	57	87	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	417	89	93	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	418	94	95	81	0	0	3697	26	0	0	0	0	0	0	3060	6	0	0
73	419	94	92	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	420	96	54	94	0	0	0	0	765	5	0	0	0	0	408	2	0	0
75	421	97	98	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	422	99	57	57	0	0	4080	8	0	0	0	0	0	0	1870	4	0	0
77	423	95	98	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	424	97	96	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	425	100	84	141	0	0	3516	46	0	0	0	0	0	0	4080	8	0	0
80	464	101	40	142	0	0	0	0	1173	7	0	0	0	0	1428	7	592	5
81	486	93	12	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	487	99	12	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	488	100	54	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	489	102	103	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	497	104	34	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	498	26	105	103	0	0	0	0	646	3	0	0	0	0	408	2	320	2
87	500	106	107	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	501	107	108	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	502	105	99	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	503	25	109	112	0	0	0	0	561	3	0	0	0	0	1020	5	844	5
91	504	110	25	146	0	0	0	0	918	3	0	0	0	0	612	3	788	6
