ProblemType:	SP-CARP
NumberNodes:	80
NumberEdges:	110
DepotNodeNumber:	35
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	6	2.3	3.5	7	14	28	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3	Demand_4	Bins_4	Demand_5	Bins_5
START
0	25	0	1	55	0	0	4235	20	0	0	0	0	4590	10	0	0
1	26	2	0	50	0	0	0	0	0	0	0	0	0	0	0	0
2	49	3	4	54	0	0	0	0	0	0	0	0	0	0	0	0
3	50	4	5	17	0	0	2550	5	0	0	0	0	0	0	0	0
4	132	6	7	182	0	0	0	0	1955	13	0	0	3910	17	832	7
5	133	6	8	22	0	0	0	0	0	0	0	0	0	0	0	0
6	134	9	10	26	0	0	0	0	0	0	0	0	0	0	0	0
7	135	11	12	40	0	0	0	0	0	0	0	0	0	0	0	0
8	136	13	9	97	0	0	0	0	816	4	0	0	612	3	760	5
9	137	10	11	102	0	0	0	0	663	4	0	0	816	4	556	4
10	211	14	15	56	0	0	3895	16	0	0	0	0	2040	4	0	0
11	212	16	14	56	0	0	0	0	0	0	0	0	0	0	0	0
12	213	15	17	48	0	0	0	0	0	0	0	0	1530	3	0	0
13	215	18	19	188	0	0	0	0	2686	17	0	0	3468	17	1184	10
14	216	20	19	13	0	0	0	0	0	0	0	0	0	0	0	0
15	217	21	22	112	0	0	0	0	1020	6	0	0	1836	9	1068	9
16	222	23	24	238	0	0	4080	8	3978	15	1870	1	4148	16	1388	11
17	224	25	26	133	4247	21	0	0	510	1	680	2	4760	11	0	0
18	225	27	3	356	0	0	3060	6	4751	44	0	0	5398	45	4008	33
19	226	28	29	22	0	0	0	0	510	1	0	0	0	0	0	0
20	408	30	31	23	0	0	0	0	0	0	0	0	0	0	0	0
21	414	32	33	77	0	0	3777	11	0	0	0	0	1530	3	0	0
22	415	32	30	22	0	0	0	0	0	0	0	0	0	0	0	0
23	416	25	31	33	0	0	0	0	0	0	0	0	0	0	0	0
24	418	34	35	81	0	0	3697	26	0	0	0	0	3060	6	0	0
25	419	34	33	18	0	0	0	0	0	0	0	0	0	0	0	0
26	420	36	24	94	0	0	0	0	765	5	0	0	408	2	0	0
27	421	37	38	12	0	0	0	0	0	0	0	0	0	0	0	0
28	422	39	25	57	0	0	4080	8	0	0	0	0	1870	4	0	0
29	423	35	38	89	0	0	0	0	0	0	0	0	0	0	0	0
30	424	37	36	94	0	0	0	0	0	0	0	0	0	0	0	0
31	425	40	41	141	0	0	3516	46	0	0	0	0	4080	8	0	0
32	464	42	16	142	0	0	0	0	1173	7	0	0	1428	7	592	5
33	486	43	2	89	0	0	0	0	0	0	0	0	0	0	0	0
34	487	39	2	25	0	0	0	0	0	0	0	0	0	0	0	0
35	488	40	24	40	0	0	0	0	0	0	0	0	0	0	0	0
36	498	10	44	103	0	0	0	0	646	3	0	0	408	2	320	2
37	501	45	46	179	0	0	0	0	0	0	0	0	0	0	0	0
38	502	44	39	89	0	0	0	0	0	0	0	0	0	0	0	0
39	503	9	47	112	0	0	0	0	561	3	0	0	1020	5	844	5
40	504	48	9	146	0	0	0	0	918	3	0	0	612	3	788	6
41	508	45	10	153	0	0	0	0	765	5	0	0	1020	5	712	6
42	511	47	2	88	0	0	0	0	0	0	0	0	0	0	0	0
43	513	3	49	67	3570	7	0	0	1530	3	0	0	544	2	0	0
44	515	7	50	8	0	0	1530	3	238	2	0	0	322	2	0	0
45	525	28	7	87	1020	2	0	0	0	0	0	0	0	0	0	0
46	526	51	52	44	0	0	0	0	0	0	0	0	0	0	0	0
47	527	52	28	28	0	0	0	0	0	0	0	0	0	0	0	0
48	528	53	51	35	0	0	3568	10	0	0	0	0	1632	6	0	0
49	534	50	3	105	0	0	1530	3	3060	6	0	0	1360	4	0	0
50	789	54	20	140	4080	8	0	0	0	0	0	0	0	0	0	0
51	790	55	19	141	0	0	0	0	782	5	0	0	1020	5	832	7
52	792	46	56	90	0	0	0	0	408	2	0	0	408	2	0	0
53	796	54	56	7	0	0	0	0	0	0	0	0	0	0	0	0
54	797	38	42	86	0	0	4031	18	510	1	1870	4	850	2	0	0
55	800	42	57	104	0	0	0	0	1989	13	0	0	1836	9	952	8
56	801	57	55	180	0	0	0	0	2992	18	0	0	3468	17	1904	16
57	802	56	55	6	0	0	0	0	0	0	0	0	0	0	0	0
58	803	40	15	83	0	0	2244	11	0	0	0	0	0	0	0	0
59	804	15	22	150	0	0	0	0	4080	8	0	0	0	0	0	0
60	806	18	58	115	0	0	0	0	578	4	0	0	1020	5	584	5
61	807	57	18	69	0	0	0	0	1394	9	0	0	1836	9	952	8
62	809	58	21	40	0	0	0	0	306	2	0	0	408	2	408	2
63	811	16	58	109	0	0	0	0	2822	12	0	0	2448	12	1488	10
64	812	21	59	75	0	0	0	0	578	4	0	0	816	4	1120	8
65	814	36	16	88	0	0	3927	14	0	0	0	0	2482	7	0	0
66	817	41	60	81	0	0	0	0	0	0	0	0	0	0	0	0
67	819	61	60	105	0	0	2720	6	510	1	0	0	680	2	0	0
68	822	40	61	88	0	0	0	0	0	0	0	0	0	0	0	0
69	823	61	62	116	0	0	4080	8	1530	3	0	0	3264	5	0	0
70	841	23	63	250	0	0	0	0	4998	29	0	0	3864	24	3024	24
71	842	37	23	79	0	0	3060	6	1683	4	0	0	1462	5	0	0
72	847	64	65	15	0	0	0	0	0	0	0	0	0	0	0	0
73	848	66	64	64	0	0	0	0	0	0	0	0	0	0	0	0
74	849	26	67	84	0	0	0	0	0	0	0	0	0	0	0	0
75	850	67	66	79	0	0	3970	9	0	0	0	0	850	2	0	0
76	851	34	66	197	0	0	1700	4	3604	5	0	0	1292	5	0	0
77	852	66	53	191	3913	9	0	0	510	1	0	0	2890	7	0	0
78	853	68	69	49	0	0	3653	19	3508	27	0	0	4760	10	0	0
79	854	67	68	115	0	0	3656	10	0	0	0	0	1190	3	0	0
80	855	30	67	160	4213	10	0	0	204	1	0	0	2788	8	0	0
81	858	35	27	78	0	0	0	0	306	2	0	0	408	2	352	3
82	859	65	6	8	0	0	0	0	306	2	0	0	408	2	232	2
83	860	8	64	14	0	0	0	0	0	0	0	0	0	0	0	0
84	861	27	8	140	0	0	4182	15	833	3	0	0	2312	7	116	1
85	862	65	52	165	0	0	3974	29	0	0	0	0	4250	10	0	0
86	869	70	13	142	0	0	0	0	2278	11	0	0	2652	13	1268	10
