ProblemType:	SP-CARP
NumberNodes:	28
NumberEdges:	35
DepotNodeNumber:	11
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	5	2.3	3.5	7	14	28
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3	Demand_4	Bins_4
START
0	81	0	1	58	0	0	0	0	3060	6	0	0	0	0
1	82	2	3	55	2040	4	4080	8	0	0	0	0	1530	4
2	83	4	3	62	3889	10	0	0	0	0	0	0	2754	7
3	84	5	6	19	3584	50	0	0	0	0	2550	5	5434	14
4	85	3	5	57	0	0	680	2	0	0	0	0	0	0
5	86	7	1	56	0	0	0	0	0	0	3825	5	0	0
6	87	6	7	9	0	0	0	0	0	0	0	0	0	0
7	89	8	0	194	0	0	0	0	1020	2	0	0	544	2
8	109	9	10	108	0	0	3264	7	0	0	0	0	2550	5
9	110	11	9	145	0	0	0	0	204	1	0	0	3230	7
10	270	12	13	35	0	0	0	0	0	0	0	0	0	0
11	274	2	11	21	0	0	0	0	0	0	0	0	0	0
12	275	14	15	57	0	0	0	0	0	0	0	0	0	0
13	277	17	13	44	0	0	1360	3	0	0	408	2	408	2
14	283	11	15	82	0	0	0	0	0	0	0	0	0	0
15	284	2	18	55	0	0	0	0	0	0	0	0	0	0
16	285	18	16	74	0	0	4245	13	2550	5	0	0	2448	10
17	290	12	14	74	0	0	2125	5	0	0	0	0	680	2
18	303	19	20	64	0	0	850	2	0	0	0	0	0	0
19	451	21	22	259	4157	17	0	0	0	0	0	0	3400	7
20	453	7	21	131	4080	8	0	0	0	0	0	0	2040	4
21	454	24	22	99	4080	8	0	0	0	0	0	0	2890	6
22	455	22	23	56	3760	9	1530	3	0	0	0	0	2108	6
23	456	6	24	131	3060	6	0	0	0	0	0	0	0	0
24	457	21	24	11	0	0	0	0	0	0	0	0	0	0
25	462	8	25	97	0	0	0	0	4076	11	0	0	2226	7
26	463	15	8	32	0	0	0	0	1700	1	0	0	0	0
27	1159	18	26	156	0	0	2040	4	0	0	0	0	3264	8
28	1163	26	9	73	0	0	0	0	6338	21	0	0	2890	6
29	1164	27	26	74	0	0	1020	2	0	0	0	0	4420	9
30	1166	16	27	165	0	0	1020	2	612	3	2380	5	1530	3
31	1254	14	25	124	3060	6	3910	9	2550	5	0	0	3162	10
32	1256	1	20	14	0	0	0	0	0	0	0	0	0	0
33	1257	25	0	112	0	0	1938	8	850	2	0	0	1428	5
34	-1	16	23	93	0	0	0	0	0	0	0	0	0	0
END
