ProblemType:	SP-CARP
NumberNodes:	795
NumberEdges:	1106
DepotNodeNumber:	0
NumberOfFractions:	1
NumberOfIntervalsForFraction	Paper	3	7	14	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2
START
0	0	0	1	41	0	0	0	0	0	0
1	11	5	6	54	0	0	0	0	0	0
2	12	7	8	204	0	0	2040	4	0	0
3	13	7	9	10	0	0	0	0	0	0
4	14	9	6	10	0	0	0	0	0	0
5	16	10	11	181	0	0	3060	6	0	0
6	20	12	13	122	0	0	3570	7	0	0
7	21	14	15	33	0	0	816	4	0	0
8	25	16	17	55	0	0	3570	7	0	0
9	26	18	16	50	0	0	0	0	0	0
10	27	19	20	174	0	0	2550	5	0	0
11	28	21	19	99	0	0	2040	4	0	0
12	29	19	22	35	0	0	1020	2	0	0
13	30	23	24	119	0	0	2754	6	0	0
14	31	25	23	55	0	0	0	0	0	0
15	32	23	26	141	0	0	0	0	0	0
16	38	27	28	215	0	0	816	4	2244	11
17	39	28	29	484	0	0	816	4	4944	39
18	48	30	31	79	0	0	510	1	204	1
19	52	34	35	152	0	0	2550	5	0	0
20	53	36	37	98	0	0	1020	2	0	0
21	54	38	39	86	0	0	0	0	0	0
22	57	40	34	61	0	0	0	0	0	0
23	58	41	37	119	0	0	510	1	0	0
24	59	42	43	107	0	0	1020	2	0	0
25	60	39	44	63	0	0	0	0	0	0
26	61	45	40	166	0	0	2958	7	0	0
27	62	44	46	23	0	0	0	0	0	0
28	63	47	48	79	0	0	0	0	0	0
29	65	49	50	140	0	0	3616	13	0	0
30	66	51	41	90	0	0	1020	2	0	0
31	67	52	53	226	0	0	510	1	0	0
32	68	46	54	84	0	0	1122	4	0	0
33	69	50	45	153	0	0	3264	7	0	0
34	70	37	49	111	0	0	2040	4	0	0
35	71	55	56	69	0	0	0	0	0	0
36	72	56	47	6	0	0	0	0	0	0
37	73	54	55	22	0	0	1020	2	0	0
38	74	53	51	111	0	0	3468	8	0	0
39	75	48	52	213	0	0	2040	4	0	0
40	76	43	38	45	0	0	0	0	0	0
41	77	57	58	75	0	0	0	0	0	0
42	78	59	60	147	0	0	0	0	0	0
43	81	61	62	58	0	0	0	0	0	0
44	82	63	64	55	0	0	1020	2	0	0
45	83	65	64	62	0	0	1530	3	0	0
46	84	66	67	19	0	0	3733	12	0	0
47	85	64	66	57	0	0	0	0	0	0
48	86	68	62	56	0	0	0	0	0	0
49	87	67	68	9	0	0	0	0	0	0
50	89	69	61	194	0	0	204	1	0	0
51	90	70	71	84	0	0	1530	3	0	0
52	91	72	73	121	0	0	0	0	1224	6
53	92	74	75	47	0	0	1122	4	0	0
54	93	76	77	98	0	0	2040	4	0	0
55	94	78	79	105	0	0	0	0	0	0
56	95	80	81	6	0	0	0	0	0	0
57	100	82	83	244	0	0	3803	13	0	0
58	101	84	82	40	0	0	0	0	0	0
59	103	85	86	110	0	0	2448	6	0	0
60	105	76	87	24	0	0	0	0	0	0
61	106	88	89	104	0	0	1020	2	0	0
62	107	89	76	56	0	0	510	1	0	0
63	108	90	89	71	0	0	0	0	0	0
64	109	91	92	108	0	0	510	1	0	0
65	110	93	91	145	0	0	2754	6	0	0
66	111	94	95	71	0	0	1530	3	408	2
67	112	94	96	98	0	0	0	0	1224	6
68	113	96	97	88	0	0	612	3	1632	8
69	114	98	94	67	0	0	1530	3	0	0
70	115	99	97	257	0	0	0	0	4692	23
71	116	100	101	97	0	0	1020	2	0	0
