ProblemType:	SP-CARP
NumberNodes:	531
NumberEdges:	780
DepotNodeNumber:	0
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	5	3.5	7	14	28	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3	Demand_4	Bins_4
START
0	0	0	1	41	0	0	0	0	0	0	0	0	0	0
1	25	4	5	221	0	0	0	0	0	0	0	0	0	0
2	38	10	11	215	0	0	1496	9	0	0	1836	9	712	6
3	39	11	12	484	0	0	3970	38	0	0	4856	38	3428	26
4	48	13	14	79	0	0	0	0	0	0	0	0	0	0
5	59	18	19	107	0	0	0	0	0	0	0	0	0	0
6	64	15	23	93	0	0	204	1	0	0	0	0	0	0
7	66	25	17	90	0	0	0	0	0	0	0	0	0	0
8	67	26	27	226	0	0	0	0	0	0	0	0	0	0
9	68	21	28	84	306	2	0	0	0	0	0	0	0	0
10	74	27	25	111	0	0	0	0	0	0	0	0	0	0
11	75	22	26	213	0	0	0	0	0	0	0	0	0	0
12	76	19	16	45	0	0	0	0	0	0	0	0	0	0
13	90	32	33	84	0	0	0	0	0	0	408	2	0	0
14	91	34	35	121	0	0	816	5	0	0	612	3	964	6
15	94	37	38	105	0	0	0	0	0	0	0	0	0	0
16	95	39	40	6	0	0	0	0	0	0	0	0	0	0
17	100	41	42	284	0	0	0	0	0	0	0	0	0	0
18	105	36	43	24	0	0	0	0	0	0	0	0	0	0
19	109	45	46	108	0	0	0	0	0	0	0	0	0	0
20	110	47	45	145	0	0	0	0	0	0	0	0	0	0
21	111	48	49	71	0	0	408	2	0	0	408	2	232	2
22	112	48	50	98	0	0	731	4	0	0	612	3	232	2
23	113	50	51	88	0	0	663	4	0	0	816	4	236	2
24	114	52	48	67	0	0	0	0	0	0	0	0	0	0
25	115	53	51	257	0	0	4080	24	0	0	3468	17	2292	15
26	116	54	55	97	0	0	0	0	0	0	0	0	0	0
27	117	56	54	96	0	0	0	0	0	0	0	0	0	0
28	121	60	59	28	0	0	0	0	0	0	0	0	0	0
29	122	61	60	93	0	0	0	0	0	0	0	0	0	0
30	123	62	63	122	0	0	0	0	0	0	0	0	0	0
31	124	64	63	107	0	0	0	0	0	0	0	0	0	0
32	125	65	66	111	0	0	714	4	0	0	612	3	472	4
33	126	66	67	91	0	0	153	1	0	0	204	1	232	2
34	127	68	66	128	0	0	1377	9	0	0	0	0	0	0
35	128	66	69	74	0	0	459	3	0	0	408	2	116	1
36	129	69	70	85	0	0	357	2	0	0	408	2	472	4
37	132	72	73	182	0	0	1802	12	0	0	2448	12	832	7
38	133	72	74	22	0	0	0	0	0	0	0	0	0	0
39	134	75	76	26	0	0	0	0	0	0	0	0	0	0
40	135	77	78	40	0	0	0	0	0	0	0	0	0	0
41	136	79	75	97	0	0	204	1	0	0	204	1	408	2
42	137	76	77	102	0	0	663	4	0	0	816	4	556	4
43	138	80	81	228	0	0	2788	14	0	0	2856	14	2460	20
44	139	82	83	197	0	0	0	0	0	0	0	0	0	0
45	142	41	85	11	0	0	0	0	0	0	0	0	0	0
46	143	86	87	133	0	0	0	0	0	0	0	0	0	0
47	147	29	89	66	0	0	0	0	0	0	0	0	0	0
48	148	90	91	72	0	0	0	0	0	0	0	0	0	0
49	149	92	93	16	0	0	0	0	0	0	0	0	0	0
50	150	94	95	47	0	0	0	0	0	0	0	0	0	0
51	151	88	96	93	0	0	0	0	0	0	0	0	0	0
52	153	85	98	92	0	0	0	0	0	0	0	0	0	0
53	154	91	99	88	0	0	0	0	0	0	0	0	0	0
54	155	95	93	56	0	0	0	0	0	0	0	0	0	0
55	156	90	100	9	0	0	0	0	0	0	0	0	0	0
56	157	98	97	81	0	0	0	0	0	0	0	0	0	0
57	158	101	86	143	0	0	0	0	0	0	0	0	0	0
58	159	101	84	34	0	0	0	0	0	0	0	0	0	0
59	160	94	96	16	0	0	0	0	0	0	0	0	0	0
60	161	92	100	53	0	0	0	0	0	0	0	0	0	0
61	162	99	41	65	0	0	0	0	0	0	0	0	0	0
62	164	102	103	91	0	0	0	0	0	0	0	0	0	0
63	170	103	104	101	0	0	0	0	0	0	0	0	0	0
64	172	105	104	144	0	0	0	0	0	0	408	2	0	0
65	173	106	107	83	0	0	0	0	0	0	0	0	0	0
66	174	85	13	154	0	0	765	4	0	0	408	2	232	2
67	175	14	108	118	0	0	0	0	0	0	0	0	0	0
68	176	108	34	71	0	0	340	1	0	0	204	1	320	2
69	177	107	105	57	0	0	0	0	0	0	0	0	0	0
70	178	109	106	204	0	0	0	0	0	0	0	0	0	0
