ProblemType:	SP-CARP
NumberNodes:	6255
NumberEdges:	6824
DepotNodeNumber:	2735
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	4	2.3	3.5	7	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2	Demand_3	Bins_3
START
0	10	0	1	67	0	0	0	0	0	0	0	0
1	11	1	2	44	0	0	0	0	0	0	0	0
2	18	3	4	13	0	0	0	0	0	0	0	0
3	19	5	6	223	0	0	0	0	0	0	0	0
4	20	5	7	457	0	0	0	0	0	0	374	3
5	21	7	8	515	0	0	0	0	680	2	324	2
6	22	9	10	1567	0	0	0	0	204	1	94	1
7	46	11	12	296	0	0	0	0	0	0	0	0
8	48	13	14	595	0	0	0	0	0	0	0	0
9	49	13	11	13	0	0	0	0	0	0	0	0
10	51	15	16	266	0	0	0	0	0	0	162	1
11	52	11	17	424	0	0	0	0	0	0	0	0
12	53	18	19	202	0	0	0	0	0	0	0	0
13	56	20	21	31	0	0	0	0	0	0	323	2
14	57	22	23	30	0	0	0	0	0	0	0	0
15	62	24	25	67	0	0	0	0	0	0	689	4
16	63	25	26	14	0	0	0	0	0	0	162	1
17	64	27	28	110	0	0	0	0	561	1	0	0
18	65	29	30	31	0	0	0	0	0	0	204	1
19	66	30	31	15	0	0	0	0	0	0	0	0
20	67	32	33	291	0	0	0	0	4128	17	3781	28
21	68	33	34	63	0	0	0	0	884	3	238	2
22	69	35	36	284	0	0	0	0	0	0	0	0
23	71	37	38	24	0	0	0	0	0	0	0	0
24	76	39	40	142	0	0	0	0	1309	2	0	0
25	92	41	42	55	0	0	0	0	0	0	0	0
26	93	41	43	130	0	0	0	0	0	0	0	0
27	94	44	43	18	0	0	0	0	0	0	0	0
28	95	45	46	142	0	0	0	0	0	0	0	0
29	96	44	45	12	0	0	0	0	0	0	0	0
30	97	47	48	133	0	0	0	0	0	0	0	0
31	98	48	49	172	0	0	0	0	0	0	485	3
32	99	50	51	38	0	0	0	0	0	0	485	3
33	100	52	53	299	0	0	0	0	0	0	340	1
34	101	54	52	224	0	0	0	0	0	0	0	0
35	103	55	54	101	0	0	0	0	0	0	0	0
36	105	56	57	166	0	0	901	2	2244	4	0	0
37	107	58	59	34	0	0	0	0	204	1	442	3
38	108	60	61	44	0	0	0	0	0	0	323	2
39	109	62	60	87	0	0	0	0	0	0	485	3
40	111	63	64	68	0	0	0	0	0	0	969	6
41	112	65	66	65	0	0	0	0	0	0	3111	19
42	113	67	68	126	0	0	0	0	0	0	1496	9
43	114	69	70	105	0	0	0	0	162	1	1131	7
44	115	71	72	44	0	0	0	0	0	0	969	6
45	116	73	74	41	0	0	0	0	0	0	485	3
46	117	75	71	39	0	0	0	0	0	0	527	3
47	118	76	77	140	0	0	0	0	0	0	935	5
48	119	78	79	91	0	0	0	0	0	0	485	3
49	120	80	81	51	0	0	0	0	0	0	570	3
50	121	82	83	37	0	0	0	0	0	0	689	4
51	122	84	85	25	0	0	0	0	1122	2	0	0
52	123	86	87	16	0	0	0	0	0	0	0	0
