ProblemType:	SP-CARP
NumberNodes:	375
NumberEdges:	412
DepotNodeNumber:	10
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	2	7	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1
START
0	10917	0	1	120	0	0	119	1
1	10918	2	3	428	0	0	162	1
2	10919	4	5	428	0	0	162	1
3	10920	6	7	164	0	0	162	1
4	10941	8	9	109	0	0	204	1
5	10967	10	11	362	0	0	340	1
6	10974	12	13	335	0	0	162	1
7	10997	14	15	5	0	0	0	0
8	10998	15	16	123	0	0	204	1
9	11003	17	18	33	0	0	162	1
10	11129	19	20	90	0	0	1097	6
11	11130	20	21	25	0	0	485	3
12	11131	22	23	18	0	0	0	0
13	11138	23	24	33	0	0	689	4
14	11147	25	26	51	0	0	162	1
15	11149	27	28	159	0	0	162	1
16	11150	20	29	75	0	0	544	2
17	11151	19	30	52	0	0	646	4
18	11153	31	32	40	0	0	255	2
19	11173	24	33	20	0	0	0	0
20	11175	33	34	29	0	0	323	2
21	11176	34	35	7	0	0	162	1
22	11196	36	37	52	0	0	323	2
23	11201	38	37	81	0	0	0	0
24	11202	37	39	33	0	0	0	0
25	11206	40	41	56	0	0	162	1
26	11212	42	43	112	0	0	119	1
27	11252	41	36	19	0	0	162	1
28	11254	44	45	65	0	0	162	1
29	11277	45	46	173	0	0	0	0
30	11357	47	48	204	0	0	0	0
31	11358	49	50	209	0	0	162	1
32	11404	39	0	164	0	0	204	1
33	11473	49	51	59	0	0	323	2
34	11481	52	53	35	0	0	366	2
35	11483	54	55	46	0	0	0	0
36	11484	56	57	95	0	0	204	1
37	11525	58	59	64	0	0	646	4
38	11561	60	44	309	0	0	162	1
39	11562	55	61	77	0	0	485	3
40	11627	62	63	290	0	0	340	1
41	11630	64	65	30	0	0	0	0
42	11632	63	66	136	0	0	0	0
43	11660	67	68	29	0	0	0	0
44	11698	69	70	187	0	0	485	3
45	11745	71	72	70	0	0	0	0
46	11746	72	73	139	0	0	323	2
47	11759	74	75	637	0	0	0	0
48	11760	11	76	578	0	0	0	0
49	11761	77	78	92	0	0	204	1
50	11778	79	80	303	0	0	324	2
51	11779	81	80	134	0	0	162	1
52	11863	82	78	636	0	0	1021	3
53	11866	83	84	384	0	0	162	1
54	11868	85	86	21	0	0	162	1
55	11869	87	88	253	0	0	0	0
56	11870	89	90	125	680	2	1870	12
57	11871	90	91	93	0	0	1420	7
58	11873	92	93	530	0	0	162	1
