ProblemType:	SP-CARP
NumberNodes:	7983
NumberEdges:	8882
DepotNodeNumber:	458
NumberOfFractions:	1
NumberOfIntervalsForFraction	Paper	2	28	56
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1
START
0	2	1	2	39	0	0	0	0
1	7	6	7	55	0	0	0	0
2	11	8	9	44	0	0	0	0
3	12	10	11	95	0	0	0	0
4	13	11	12	42	0	0	0	0
5	16	10	14	17	0	0	0	0
6	17	14	15	27	118	1	0	0
7	18	16	17	13	0	0	0	0
8	21	19	20	670	0	0	0	0
9	22	21	22	1567	0	0	204	1
10	24	23	24	325	0	0	204	1
11	26	24	25	225	0	0	0	0
12	39	27	28	107	0	0	204	1
13	40	29	30	418	0	0	204	1
14	41	30	31	106	0	0	204	1
15	46	33	34	296	0	0	0	0
16	48	35	36	595	0	0	0	0
17	49	35	33	13	0	0	0	0
18	51	37	38	266	118	1	0	0
19	52	33	39	424	0	0	0	0
20	53	40	41	202	0	0	0	0
21	56	42	43	31	238	2	0	0
22	62	44	45	67	578	3	0	0
23	63	45	46	14	118	1	0	0
24	65	47	48	31	118	1	0	0
25	66	48	49	15	0	0	0	0
26	67	50	51	291	1232	10	0	0
27	68	51	52	63	0	0	0	0
28	69	53	54	284	0	0	0	0
29	80	55	56	127	0	0	204	1
30	92	60	61	55	0	0	0	0
31	93	60	62	130	0	0	0	0
32	94	63	62	18	0	0	0	0
33	95	64	65	142	0	0	0	0
34	96	63	64	12	0	0	0	0
35	97	66	67	133	0	0	0	0
36	98	67	68	172	118	1	0	0
37	103	69	70	101	0	0	0	0
38	107	71	72	34	476	4	0	0
39	108	73	74	44	238	2	0	0
40	109	75	73	87	356	3	0	0
41	111	76	77	68	594	5	0	0
42	112	78	79	65	1308	11	0	0
43	113	80	81	126	994	8	0	0
44	114	82	83	105	714	6	0	0
45	115	84	85	44	638	5	0	0
46	116	86	87	41	356	3	0	0
47	117	88	84	39	356	3	0	0
48	118	89	90	140	238	2	0	0
49	119	91	92	91	356	3	0	0
50	120	93	94	51	356	3	0	0
51	121	95	96	37	476	4	0	0
52	126	97	98	31	0	0	0	0
53	135	99	100	114	238	2	0	0
54	138	101	102	20	0	0	0	0
55	140	103	104	104	952	8	0	0
56	149	105	106	11	0	0	0	0
57	150	106	107	103	952	8	0	0
58	151	108	109	1363	0	0	0	0
59	155	110	111	185	0	0	204	1
60	161	112	113	695	0	0	0	0
61	162	114	112	79	0	0	204	1
62	163	115	116	81	594	5	0	0
63	164	117	118	38	476	4	0	0
64	165	119	120	37	238	2	0	0
65	166	120	121	15	0	0	0	0
66	170	122	123	40	118	1	0	0
67	171	123	124	39	714	6	0	0
68	172	125	126	88	832	7	0	0
69	173	126	127	14	118	1	0	0
70	181	128	129	39	204	1	0	0
71	185	130	131	38	118	1	0	0
72	188	132	133	661	0	0	0	0
73	190	135	136	615	0	0	204	1
74	191	137	138	71	0	0	0	0
75	192	138	139	79	0	0	0	0
76	193	140	141	74	0	0	204	1
77	194	142	143	301	0	0	204	1
78	196	144	145	81	0	0	160	1
79	197	145	146	44	0	0	0	0
80	198	146	147	15	0	0	0	0
81	199	148	149	102	0	0	440	3
82	200	149	150	48	0	0	160	1
83	201	151	152	132	0	0	0	0
84	202	153	129	57	0	0	0	0
85	203	129	154	142	118	1	0	0
86	204	153	155	25	0	0	0	0
87	207	158	159	13	0	0	0	0
88	208	159	156	141	238	2	0	0
89	209	160	161	156	118	1	0	0
90	210	162	163	185	0	0	0	0
91	211	163	160	149	0	0	0	0
92	213	165	166	22	0	0	0	0
93	214	166	167	91	0	0	0	0
94	215	168	169	424	0	0	0	0
95	219	171	172	31	118	1	0	0
96	220	171	173	42	118	1	0	0
97	221	174	175	56	118	1	0	0
98	226	179	180	28	162	1	0	0
99	227	179	181	33	118	1	0	0
100	228	182	183	72	118	1	0	0
101	229	184	185	198	594	5	0	0
102	230	185	186	187	0	0	0	0
103	235	188	189	77	0	0	0	0
104	236	189	190	85	238	2	0	0
105	237	191	188	19	0	0	0	0
106	244	192	193	50	0	0	0	0
107	245	194	195	4	0	0	0	0
108	246	196	197	86	280	2	0	0
109	247	196	152	14	0	0	0	0
110	248	198	199	91	238	2	0	0
111	252	201	200	52	0	0	116	1
112	255	203	204	76	118	1	0	0
113	256	204	205	73	118	1	0	0
114	257	204	206	15	238	2	0	0
115	258	207	208	83	238	2	0	0
116	259	207	209	24	118	1	0	0
117	262	211	212	194	0	0	160	1
118	263	213	214	11	0	0	0	0
119	264	214	215	75	356	3	0	0
120	265	215	216	76	0	0	0	0
121	266	216	217	16	0	0	0	0
122	267	218	215	65	118	1	0	0
123	268	219	220	48	0	0	0	0
124	269	220	221	59	118	1	0	0
125	270	221	222	57	118	1	0	0
126	271	217	223	71	118	1	116	1
127	272	216	224	80	442	3	0	0
128	279	227	228	105	204	1	0	0
129	280	227	229	11	0	0	0	0
130	282	230	231	39	0	0	160	1
131	285	233	234	280	0	0	0	0
132	286	235	229	86	0	0	204	1
133	287	229	234	161	0	0	0	0
134	288	236	237	132	0	0	728	4
