ProblemType:	SP-CARP
NumberNodes:	451
NumberEdges:	499
DepotNodeNumber:	41
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	2	7	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1
START
0	138	0	1	22	0	0	1811	17
1	143	2	3	119	0	0	0	0
2	146	4	5	65	0	0	791	7
3	147	6	7	27	0	0	340	1
4	148	7	8	10	0	0	0	0
5	149	9	10	10	0	0	94	1
6	154	11	12	39	1020	2	714	2
7	155	13	14	10	0	0	187	2
8	156	14	15	37	0	0	94	1
9	164	5	16	30	0	0	187	2
10	165	16	17	17	0	0	187	2
11	166	18	19	98	544	2	799	5
12	167	19	20	19	0	0	0	0
13	168	21	22	12	0	0	0	0
14	169	22	23	33	0	0	204	1
15	172	24	25	131	408	2	935	5
16	173	25	26	9	0	0	0	0
17	174	26	27	16	0	0	204	1
18	175	27	28	77	816	4	1547	8
19	302	13	29	64	1530	3	0	0
20	303	30	31	6	0	0	0	0
21	304	31	32	9	0	0	187	2
22	305	1	33	48	0	0	375	4
23	306	33	8	24	0	0	374	4
24	307	34	35	7	0	0	0	0
25	308	35	36	32	0	0	187	2
26	309	36	37	6	0	0	0	0
27	310	37	9	34	0	0	468	5
28	336	38	39	624	0	0	0	0
29	338	29	40	17	340	1	0	0
30	339	40	11	54	850	2	213	2
31	496	41	42	385	0	0	187	2
32	497	43	44	97	204	1	0	0
33	498	45	46	86	0	0	204	1
34	518	47	48	183	0	0	323	2
35	772	49	50	29	0	0	0	0
36	773	51	52	4	0	0	0	0
37	774	52	53	80	0	0	502	3
38	775	54	55	76	0	0	119	1
39	776	55	56	68	0	0	417	3
40	777	57	58	75	0	0	298	2
41	778	59	60	3	281	3	0	0
42	779	60	61	32	187	2	0	0
43	780	61	62	108	0	0	621	4
44	849	63	64	85	0	0	0	0
45	852	64	65	116	0	0	0	0
46	853	66	67	48	94	1	94	1
47	854	67	68	318	0	0	0	0
48	955	67	69	38	204	1	0	0
49	974	70	71	33	0	0	204	1
50	1009	72	73	38	0	0	204	1
51	1010	64	74	42	0	0	94	1
52	1011	65	75	107	204	1	0	0
53	1047	76	72	54	0	0	298	2
54	1076	77	49	33	0	0	187	2
55	1106	78	79	34	94	1	0	0
56	1107	79	80	120	0	0	306	3
57	1254	81	82	19	0	0	204	1
58	1577	38	83	662	0	0	0	0
59	1585	84	85	185	0	0	0	0
60	1586	85	82	53	0	0	0	0
61	1646	86	87	590	0	0	204	1
62	1647	87	88	207	0	0	0	0
63	1648	87	89	463	119	1	0	0
64	1869	90	91	37	0	0	204	1
65	1870	91	92	76	0	0	536	4
66	1871	91	93	32	0	0	400	4
67	1891	94	95	20	0	0	0	0
68	1892	94	96	11	0	0	0	0
69	1893	94	97	111	0	0	204	1
70	1910	98	99	44	119	1	204	1
71	2076	100	45	122	0	0	213	2
72	2077	45	101	65	0	0	485	4
73	2079	102	43	242	527	3	1114	9
74	2080	43	103	34	0	0	0	0
75	2109	104	105	49	0	0	621	4
76	2112	106	107	56	298	2	94	1
77	2122	108	109	49	0	0	0	0
78	2166	110	111	288	0	0	204	1
79	2199	70	111	196	0	0	0	0
80	2200	111	38	11	0	0	0	0
81	2359	112	113	186	0	0	0	0
82	2361	41	114	93	0	0	0	0
83	2362	47	115	155	0	0	204	1
84	2363	116	117	50	0	0	714	2
85	2413	118	119	19	94	1	94	1
86	2414	103	120	58	0	0	595	4
87	2415	121	122	29	0	0	187	2
88	2416	121	123	117	298	2	697	6
89	2417	103	124	68	204	1	527	3
90	2418	125	84	372	0	0	204	1
91	2419	85	117	38	0	0	0	0
92	2420	117	126	44	0	0	0	0
93	2421	127	128	726	0	0	1471	11
94	2422	128	126	264	204	1	1216	8
95	2423	126	81	26	0	0	298	2
96	2424	129	130	76	0	0	408	2
97	2425	127	131	76	0	0	0	0
98	2436	132	133	435	0	0	0	0
99	2439	134	135	266	204	1	332	3
100	2440	136	133	676	0	0	0	0
101	2441	137	135	91	0	0	204	1
102	2443	138	139	47	0	0	825	5
103	2444	140	141	52	119	1	706	4
104	2445	142	143	33	94	1	281	3
105	2446	142	144	72	0	0	706	4
106	2447	140	145	71	0	0	595	4
107	2448	146	138	20	0	0	204	1
108	2449	147	148	112	0	0	94	1
109	2450	148	149	477	0	0	0	0
110	2451	146	145	70	0	0	0	0
111	2480	150	151	695	0	0	0	0
112	2482	151	147	27	0	0	94	1
113	2485	125	152	425	0	0	204	1
114	3311	153	154	131	0	0	187	2
115	3389	155	156	154	204	1	510	4
116	3390	156	157	10	0	0	0	0
117	3452	158	159	13	0	0	0	0
118	3453	154	160	512	0	0	0	0
119	3454	161	160	342	0	0	0	0
120	3455	157	162	533	0	0	119	1
121	3456	162	163	97	0	0	94	1
122	3457	164	165	50	0	0	391	3
123	3458	166	167	20	0	0	0	0
124	3459	168	169	152	0	0	0	0
125	3461	169	170	285	408	2	578	5
126	3462	171	129	23	0	0	204	1
127	3522	172	173	305	0	0	0	0
128	3523	173	161	250	0	0	187	2
129	3524	173	174	112	0	0	94	1
130	3529	131	175	153	0	0	0	0
131	3530	175	176	84	0	0	204	1
132	3531	158	177	608	0	0	281	3
133	3532	177	168	498	0	0	94	1
134	3533	177	178	217	204	1	0	0
135	3534	179	150	111	0	0	0	0
136	3536	150	180	222	0	0	94	1
137	3609	181	108	51	0	0	213	2
138	3610	109	182	53	204	1	204	1
139	3611	183	184	100	0	0	94	1
140	3612	184	185	88	0	0	94	1
141	3613	186	187	117	0	0	808	6
142	3615	188	189	131	0	0	1513	10
143	3616	190	191	80	502	3	94	1
144	3617	191	192	79	0	0	502	3
145	3618	192	193	85	94	1	502	3
146	3619	193	194	96	0	0	502	3
147	3621	195	196	135	0	0	1335	9
148	3622	197	190	51	0	0	204	1
149	3623	190	198	108	0	0	485	4
150	3625	131	163	495	0	0	0	0
151	3626	146	199	580	0	0	298	2
152	3647	136	132	453	0	0	204	1
153	3648	129	118	210	323	2	1029	6
154	3704	200	201	52	0	0	0	0
155	3706	200	202	124	0	0	187	2
156	3733	203	204	9	0	0	0	0
157	3787	154	166	842	0	0	0	0
158	3803	206	207	82	0	0	119	1
159	3804	68	90	141	0	0	0	0
160	3805	208	30	35	0	0	187	2
161	3806	208	209	41	0	0	204	1
162	3807	209	77	68	94	1	204	1
163	3808	50	210	38	94	1	0	0
164	3809	210	211	32	0	0	119	1
165	3810	211	212	102	0	0	757	7
166	3811	92	213	65	204	1	119	1
167	3813	98	183	161	0	0	298	2
168	3814	194	214	21	187	2	0	0
169	3816	215	187	90	204	1	298	2
170	3817	187	188	94	0	0	604	5
171	3818	188	185	93	0	0	680	7
172	3819	185	192	117	0	0	536	4
173	3820	192	181	118	94	1	527	3
174	3821	216	217	55	0	0	298	2
175	3822	218	58	61	204	1	408	2
176	3828	219	191	49	204	1	0	0
177	3829	191	220	111	0	0	621	4
178	3830	221	222	111	425	4	901	7
179	3831	193	184	141	204	1	893	6
180	3832	184	186	191	808	3	1301	8
181	3833	223	189	27	0	0	612	3
182	3834	50	224	43	0	0	94	1
183	3835	224	225	21	94	1	408	2
184	3836	224	226	103	204	1	825	5
185	3837	210	227	67	536	4	119	1
186	3838	228	209	38	0	0	706	4
187	3839	229	77	39	0	0	281	3
188	3840	230	219	22	0	0	204	1
189	3841	92	231	27	0	0	204	1
190	3842	231	232	63	0	0	213	2
191	3843	232	233	106	298	2	391	3
192	3844	234	231	41	94	1	502	3
193	3850	235	236	47	0	0	323	2
194	3860	105	237	47	0	0	204	1
195	3861	237	238	57	0	0	417	3
196	3862	237	239	37	680	2	187	2
197	3863	20	240	103	0	0	1097	7
198	3864	241	242	39	0	0	204	1
199	3865	242	243	92	425	4	578	5
200	3866	51	244	36	119	1	408	2
201	3867	245	66	23	0	0	204	1
202	3868	66	51	26	0	0	0	0
203	3875	247	39	101	0	0	0	0
204	3947	248	249	39	0	0	94	1
205	3948	249	250	538	408	2	94	1
206	3957	251	252	71	204	1	204	1
207	3958	253	78	44	0	0	204	1
208	3961	254	58	73	94	1	94	1
209	3967	255	213	70	119	1	731	4
210	3968	256	222	96	0	0	0	0
211	3969	222	181	84	0	0	0	0
212	3970	193	222	111	298	2	94	1
213	3971	257	258	23	0	0	298	2
214	3972	105	258	44	204	1	502	3
215	3973	258	259	166	94	1	629	5
216	3979	260	261	63	94	1	204	1
217	3980	233	262	37	0	0	187	2
218	3981	107	253	31	0	0	629	2
219	3982	263	230	10	0	0	94	1
220	3983	214	256	92	748	3	825	5
221	3984	36	208	34	0	0	281	3
222	3985	90	262	66	0	0	0	0
223	3987	260	98	165	94	1	204	1
224	3991	264	265	89	0	0	0	0
225	4011	266	267	30	94	1	0	0
226	4012	268	269	136	0	0	0	0
227	4013	270	271	48	0	0	204	1
228	4015	68	272	125	0	0	1700	5
229	4016	181	273	83	0	0	0	0
230	4019	265	274	51	0	0	442	3
231	4040	275	206	46	204	1	0	0
232	4043	220	273	3	0	0	0	0
233	4044	276	269	7	0	0	0	0
234	4045	269	277	17	0	0	0	0
235	4046	276	268	14	0	0	0	0
236	4047	268	13	16	0	0	187	2
237	4048	15	214	43	0	0	0	0
238	4049	15	266	16	0	0	0	0
239	4050	253	251	19	0	0	0	0
240	4051	278	240	42	298	2	0	0
241	4052	279	21	30	0	0	0	0
242	4053	270	183	51	0	0	0	0
243	4054	270	34	60	0	0	0	0
244	4059	280	58	54	0	0	408	2
245	4073	281	282	78	0	0	94	1
246	4074	282	283	4	0	0	0	0
247	4075	284	285	85	0	0	808	6
248	4077	239	286	29	0	0	774	8
249	4078	246	287	27	0	0	0	0
250	4080	288	289	165	0	0	502	3
251	4082	290	62	105	408	2	502	3
252	4091	287	291	94	281	3	502	3
253	4094	292	293	44	1530	3	0	0
254	4095	183	194	166	672	6	1233	12
255	4096	256	18	110	391	3	1964	11
256	4097	294	295	154	731	4	1607	11
257	4098	296	295	238	0	0	323	2
258	4099	297	298	138	0	0	0	0
259	4100	207	296	28	0	0	0	0
260	4103	296	298	27	0	0	0	0
261	4107	299	300	88	298	2	417	3
262	4108	300	301	61	94	1	910	5
263	4114	302	303	115	204	1	510	4
264	4115	185	304	80	0	0	298	2
265	4116	304	235	104	119	1	357	3
266	4119	277	305	42	0	0	94	1
267	4185	170	124	11	0	0	0	0
268	4186	124	130	15	0	0	0	0
269	4187	130	101	9	0	0	0	0
270	4188	101	170	17	0	0	0	0
271	4203	306	307	535	0	0	408	2
272	4204	307	247	148	204	1	204	1
273	4259	83	308	91	94	1	204	1
274	4260	308	309	85	0	0	94	1
275	4301	241	310	47	0	0	298	2
276	4302	310	279	110	612	3	978	7
277	4410	311	312	68	204	1	0	0
278	4423	313	312	90	0	0	0	0
279	4424	312	314	17	0	0	0	0
280	4425	314	315	25	0	0	0	0
281	4426	314	311	23	0	0	0	0
282	4427	311	316	21	0	0	0	0
283	4452	313	171	201	0	0	1173	9
284	4453	316	313	85	0	0	187	2
285	4454	81	315	73	0	0	298	2
286	4455	315	316	30	0	0	0	0
287	4480	310	317	91	1224	3	119	1
288	4496	318	319	98	1020	2	0	0
289	4507	196	318	55	0	0	0	0
290	4918	114	320	33	0	0	0	0
291	4919	321	155	98	94	1	187	2
292	4920	322	155	9	0	0	0	0
293	4921	155	165	87	0	0	119	1
294	4922	102	321	23	204	1	0	0
295	4923	323	322	54	0	0	119	1
296	4924	322	157	161	0	0	204	1
297	6558	136	135	25	0	0	0	0
298	6559	133	179	137	0	0	94	1
299	6632	88	201	96	0	0	0	0
300	6633	201	137	92	204	1	94	1
301	6634	88	200	73	0	0	204	1
302	6645	320	159	23	0	0	0	0
303	6646	159	172	478	0	0	94	1
304	6647	320	158	25	0	0	0	0
305	6795	114	324	297	0	0	204	1
306	6799	149	199	225	0	0	238	2
307	6861	162	325	244	0	0	408	2
308	6862	166	164	68	0	0	1020	2
309	7047	323	321	41	0	0	204	1
310	7085	326	327	58	417	3	502	3
311	7086	328	329	90	119	1	408	2
312	7087	330	329	77	0	0	510	4
313	7088	331	332	60	119	1	417	3
314	7089	333	332	115	323	2	306	3
315	7090	332	334	67	417	3	417	3
316	7091	291	330	8	0	0	204	1
317	7092	330	333	88	0	0	204	1
318	7093	333	216	19	0	0	0	0
319	7094	216	335	21	94	1	0	0
320	7095	336	291	130	0	0	1122	7
321	7096	259	337	76	0	0	391	3
322	7098	204	338	48	0	0	298	2
323	7099	338	339	85	0	0	527	3
324	7100	340	341	67	94	1	485	4
325	7116	342	343	60	0	0	0	0
326	7117	344	345	251	0	0	204	1
327	7118	344	324	13	0	0	0	0
328	7119	343	344	214	0	0	391	3
329	7120	343	346	177	0	0	119	1
330	7121	347	348	68	204	1	213	2
331	7122	348	203	92	94	1	833	6
332	7123	254	349	86	94	1	332	3
333	7124	302	350	67	204	1	502	3
334	7125	350	351	51	0	0	298	2
335	7126	351	281	52	94	1	204	1
336	7285	297	80	356	0	0	0	0
337	7286	352	295	62	0	0	298	2
338	7293	353	337	93	204	1	706	4
339	7301	354	355	87	119	1	0	0
340	7317	356	284	69	0	0	1122	7
341	7318	357	285	68	298	2	468	5
342	7319	358	264	17	0	0	94	1
343	7320	53	241	18	0	0	94	1
