ProblemType:	SP-CARP
NumberNodes:	3072
NumberEdges:	3557
DepotNodeNumber:	420
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	3	3.5	7	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1	Demand_2	Bins_2
START
0	0	0	1	22	0	0	0	0	0	0
1	1	2	3	47	0	0	0	0	510	1
2	2	4	5	25	0	0	0	0	408	2
3	3	6	7	19	0	0	187	2	187	2
4	4	8	9	24	0	0	0	0	94	1
5	5	6	10	16	0	0	0	0	204	1
6	6	11	12	26	0	0	604	2	0	0
7	7	10	13	13	0	0	0	0	0	0
8	8	7	14	22	0	0	0	0	0	0
9	9	1	15	36	0	0	238	2	0	0
10	11	16	17	81	0	0	213	2	204	1
11	12	0	18	32	0	0	0	0	0	0
12	13	13	14	17	0	0	0	0	0	0
13	14	6	13	11	0	0	0	0	0	0
14	15	14	19	30	0	0	0	0	0	0
15	17	20	0	36	0	0	0	0	0	0
16	18	9	6	25	0	0	0	0	0	0
17	19	21	15	27	0	0	0	0	0	0
18	20	5	9	31	0	0	0	0	0	0
19	21	19	12	43	0	0	0	0	0	0
20	22	12	21	46	0	0	94	1	0	0
21	23	21	17	90	0	0	0	0	0	0
22	24	15	20	23	0	0	0	0	0	0
23	25	17	5	27	0	0	0	0	0	0
24	26	3	19	11	0	0	0	0	0	0
25	27	22	23	43	0	0	94	1	94	1
26	28	24	25	27	0	0	510	4	0	0
27	29	26	27	218	1122	12	4488	21	1768	16
28	30	28	24	13	0	0	0	0	0	0
29	31	26	25	140	0	0	5245	33	2406	21
30	32	29	30	196	0	0	527	3	204	1
31	33	31	32	205	0	0	833	6	986	7
32	34	33	34	66	0	0	0	0	204	1
33	35	29	34	136	0	0	0	0	323	2
34	36	31	29	66	0	0	0	0	0	0
35	37	30	34	88	0	0	0	0	204	1
36	38	35	30	44	0	0	204	1	306	3
37	55	36	37	75	0	0	0	0	94	1
38	56	38	39	67	0	0	0	0	0	0
39	57	40	39	17	0	0	0	0	0	0
40	58	41	42	52	0	0	94	1	0	0
41	59	43	40	52	0	0	510	1	0	0
42	60	38	44	52	0	0	0	0	0	0
43	61	45	38	47	0	0	0	0	0	0
44	63	44	47	49	0	0	0	0	94	1
45	64	46	42	111	0	0	0	0	0	0
46	66	45	42	454	0	0	0	0	0	0
47	68	47	37	454	0	0	0	0	0	0
48	69	37	49	77	0	0	0	0	0	0
49	74	50	51	4	0	0	0	0	0	0
50	75	52	53	104	0	0	0	0	94	1
51	76	51	54	101	0	0	0	0	94	1
52	77	55	56	68	0	0	0	0	502	3
53	78	57	55	42	0	0	0	0	0	0
54	79	55	50	50	0	0	0	0	0	0
55	80	57	52	15	0	0	0	0	0	0
56	81	58	52	147	0	0	0	0	187	2
57	108	59	60	53	0	0	94	1	0	0
