ProblemType:	SP-CARP
NumberNodes:	542
NumberEdges:	616
DepotNodeNumber:	95
NumberOfFractions:	1
NumberOfIntervalsForFraction	General_Glass_Metal_Plastic_Organic	2	7	14
GRAPH
EdgeNumber	EdgeId	StartNodeNumber	EndNodeNumber	Cost	Demand_0	Bins_0	Demand_1	Bins_1
START
0	32	0	1	196	527	3	204	1
1	33	2	3	205	833	6	986	7
2	34	4	5	66	0	0	204	1
3	35	0	5	136	0	0	323	2
4	36	2	0	66	0	0	0	0
5	37	1	5	88	0	0	204	1
6	38	6	1	44	204	1	306	3
7	191	7	8	126	587	6	119	1
8	192	7	9	118	238	2	94	1
9	193	9	10	254	1088	9	0	0
10	194	11	12	70	94	1	0	0
11	195	13	14	119	0	0	204	1
12	196	15	16	54	374	4	94	1
13	197	17	18	45	204	1	204	1
14	199	19	12	46	0	0	204	1
15	200	18	20	76	0	0	0	0
16	201	21	22	53	0	0	0	0
17	202	14	23	12	0	0	0	0
18	203	24	25	61	0	0	187	2
19	204	24	26	226	1369	10	213	2
20	205	27	15	217	400	4	119	1
21	206	22	28	61	0	0	0	0
22	207	15	18	172	579	5	0	0
23	208	25	14	81	94	1	0	0
24	209	27	21	147	188	2	0	0
25	210	28	19	264	0	0	0	0
26	211	12	29	584	0	0	0	0
27	212	20	24	145	0	0	0	0
28	251	30	31	186	612	3	94	1
29	252	32	33	64	0	0	94	1
30	253	33	30	241	1394	12	94	1
31	254	30	32	157	1505	9	332	3
32	255	34	33	83	502	3	0	0
33	272	35	36	106	375	4	213	2
34	273	36	37	82	94	1	298	2
35	274	37	35	182	187	2	408	2
36	275	37	38	65	119	1	502	3
37	276	39	35	69	0	0	119	1
38	311	40	41	202	0	0	94	1
39	312	42	43	67	94	1	0	0
40	313	44	45	55	0	0	502	3
41	314	40	46	316	0	0	204	1
42	315	47	48	82	0	0	94	1
43	316	48	49	80	0	0	0	0
44	317	40	48	275	0	0	0	0
45	318	49	43	132	0	0	0	0
46	319	43	45	13	0	0	0	0
47	320	45	50	37	0	0	94	1
48	339	51	52	221	672	6	578	5
49	340	53	54	208	204	1	94	1
50	341	54	55	70	94	1	0	0
51	342	51	56	50	0	0	0	0
52	343	57	52	149	765	7	306	3
53	344	56	53	301	94	1	400	4
54	345	55	58	129	204	1	0	0
55	346	59	60	100	0	0	0	0
56	347	61	59	137	561	6	187	2
57	348	58	62	78	204	1	0	0
58	349	63	59	37	0	0	0	0
59	350	62	9	70	188	2	0	0
60	351	63	57	55	0	0	0	0
61	352	57	51	100	0	0	0	0
62	353	64	62	63	621	4	0	0
63	383	65	66	4	0	0	0	0
64	384	67	66	130	94	1	119	1
65	385	68	69	111	935	5	0	0
66	386	70	71	75	213	2	0	0
67	387	70	68	23	0	0	0	0
68	389	71	65	129	0	0	204	1
69	391	72	73	43	0	0	204	1
70	392	29	73	107	0	0	204	1
71	393	74	75	50	94	1	119	1
72	394	76	77	140	0	0	0	0
73	395	78	77	78	213	2	0	0
74	396	29	74	351	0	0	94	1
75	397	75	78	42	0	0	0	0
